2023-07-21 06:56:39,654-INFO-Exception : n9ZnfBHhdnt11vZ - ORA-06550: line 1, column 7:
PLS-00221: 'SLT_CUST_FEATURE_UPD_API' is not a procedure or is undefined
ORA-06550: line 1, column 7:
2023-07-25 10:16:21,286-INFO-Cursor conn : Z9CPATRdKav1ARX @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-25 10:16:21,286-INFO-Exception : Z9CPATRdKav1ARX - 'cx_Oracle.Connection' object has no attribute 'VARCHAR2'
2023-07-26 10:09:02,343-INFO-DB conn : QXvUp5ogzJJwDEL - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-26 10:09:02,349-INFO-Cursor conn : QXvUp5ogzJJwDEL @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-26 10:09:02,466-INFO-Revenue : QXvUp5ogzJJwDEL @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-07-26 11:46:57,240-INFO-DB conn : Elcg0CPSOvZY7WZ - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-26 11:46:57,240-INFO-Cursor conn : Elcg0CPSOvZY7WZ @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-26 11:46:57,313-INFO-Revenue : Elcg0CPSOvZY7WZ @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-07-26 12:18:38,405-INFO-DB conn : p0Fp3wfOWdOmiBa - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-26 12:18:38,406-INFO-Cursor conn : p0Fp3wfOWdOmiBa @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
